team,drtg,pace,tov%
Milwaukee Bucks,101.6,105.36,14.1
Los Angeles Lakers,105.5,101.11,14.9
Toronto Raptors,104.9,100.87,14.2
Los Angeles Clippers,106.6,102.39,14.4
Boston Celtics,106.2,99.78,13.6
Denver Nuggets,108.9,97.66,13.9
Miami Heat,109.2,98.46,14.9
Utah Jazz,108.8,98.95,15
Dallas Mavericks,110,99.78,12.7
Houston Rockets,109.9,103.62,14.1
Oklahoma City Thunder,108.4,99.21,13.5
Indiana Pacers,107.7,99.05,13.2
Philadelphia 76ers,107.6,99.38,14.2
Memphis Grizzlies,109.9,103.26,14.8
Brooklyn Nets,108.3,101.51,15.1
Orlando Magic,108.7,98.7,12.7
Portland Trail Blazers,113.6,101.15,12.8
New Orleans Pelicans,111.6,103.96,15.4
Sacramento Kings,110.8,99.08,14.4
San Antonio Spurs,112.8,100.6,12.1
Phoenix Suns,111.3,101.76,14.8
Washington Wizards,115,103.52,13.5
Charlotte Hornets,112.8,96.24,15
Chicago Bulls,108.9,100.46,15.3
New York Knicks,112.4,99.11,14.3
Atlanta Hawks,114.4,103.28,15.5
Detroit Pistons,112.3,97.86,15.5
Cleveland Cavaliers,114.8,99.17,16.5
Minnesota Timberwolves,111.6,103.94,14.6
Golden State Warriors,113,101.04,14.6
